time,lat,lon,depth,mag
19318.08549675926,-9.809,159.5936,14000.0,7.0
19308.298080046294,-20.0924,-178.3429,586942.0,7.0
19307.450541145834,-19.2868,-172.1488,37000.0,7.3
19254.75356184028,18.4967,-102.9818,25485.0,7.6
19249.46118701389,-21.1909,170.2666,137000.0,7.0
19245.99097490741,-6.2949,146.5025,116000.0,7.6
19200.030188287037,17.5524,120.7955,46000.0,7.0
19138.50166377315,-14.8942,-70.1969,252000.0,7.2
19082.23890209491,-22.5855,170.3749,10000.0,7.0
19067.6087153125,37.7302,141.5951,59850.0,7.3
18990.76796115741,-7.5465,127.5764,164280.0,7.3
18975.13916570602,-7.6046,122.2273,15060.0,7.3
18959.45294736111,-4.4528,-76.8109,126000.0,7.5
18902.270346030095,-21.1265,174.8958,527000.0,7.3
18878.074855231484,16.9722,-99.7429,20000.0,7.0
18861.898151273148,-60.2897,-24.8801,14000.0,7.1
18853.520236342592,18.4167,-73.4804,10000.0,7.2
18851.774548483798,-58.4513,-25.327,55730.0,8.1
18851.772829444446,-57.5674,-25.0316,47230.0,7.5
18837.26098597222,55.3635,-157.8876,35000.0,8.2
18768.752934687498,34.5884,98.2402,10000.0,7.3
18706.38175928241,38.4754,141.6328,43000.0,7.0
18690.811495092596,-29.7226,-177.2791,28940.0,8.1
18690.737076145833,-29.6762,-177.8415,43000.0,7.4
18690.560830833332,-37.5431,179.3584,15480.0,7.3
18671.588782847222,37.7602,141.7196,51890.0,7.1
18668.555503842592,-23.0508,171.657,10000.0,7.7
18648.516021261574,5.0054,127.5185,80000.0,7.0
18565.494069016204,37.9175,26.7901,21000.0,7.0
18554.87128976852,54.6093,-159.6519,31080.0,7.6
18465.25884945602,55.0298,-158.5217,28000.0,7.8
18460.118312060185,-7.8386,147.7754,73000.0,7.0
18436.645188993054,15.8829,-96.0101,20000.0,7.4
18431.53464984954,-33.2938,-177.8383,10000.0,7.4
18346.11760296296,48.9688,157.6914,55390.0,7.5
18305.44009828704,45.6313,148.9293,144000.0,7.0
18289.798900034722,19.418,-78.7582,15180.0,7.7
18214.6789419213,1.6199,126.414,33000.0,7.1
18091.38252931713,-0.529,128.0931,10000.0,7.3
18083.138808333333,35.7695,-117.599333,8000.0,7.1
18071.12059988426,-6.4078,129.1692,212000.0,7.3
18062.954908935186,-30.644,-178.106,46000.0,7.3
18042.320313171298,-5.8132,-75.2775,122400.0,8.0
18030.540579560184,-4.081,152.5694,10000.0,7.5
18022.88863403935,-6.973,146.4505,146000.0,7.1
17956.36854884259,-14.7016,-70.135,267000.0,7.0
17949.42873159722,-2.199,-77.0231,132360.0,7.5
17894.152196064813,5.8983,126.9209,60210.0,7.0
17885.709666087965,55.0999,164.6993,16560.0,7.3
17876.101767708333,-58.5981,-26.4656,164660.0,7.1
17870.17926388889,-21.9568,169.4179,10000.0,7.5
17865.728811689813,61.3464,-149.9552,46700.0,7.0
17814.866906828705,-5.7078,151.2197,45050.0,7.0
17802.418558796297,-0.1781,119.8401,10000.0,7.5
17780.659194675925,-18.4952,179.3555,617870.0,7.9
17772.161075694446,-22.0663,170.0502,26680.0,7.1
17767.37785625,-11.0424,-70.8169,609480.0,7.1
17764.89707800926,10.7791,-62.907,146180.0,7.3
17762.013665162038,-18.1125,-178.1536,600000.0,8.2
17587.739398958332,-6.0529,142.7703,24430.0,7.5
17578.985876157407,16.3887,-97.9789,25980.0,7.2
17554.397024768517,56.0464,-149.0728,25000.0,7.9
17545.388027083332,-15.7589,-74.7095,39000.0,7.1
17541.119118749997,17.4743,-83.5193,10000.0,7.5
17489.946866087965,-21.3337,168.683,10000.0,7.0
17482.76270011574,34.9052,45.9563,19000.0,7.3
17428.76016701389,18.5678,-98.4808,51000.0,7.1
17417.200925925925,15.0356,-93.9067,56670.0,8.1
17364.98210497685,54.4715,168.8148,10990.0,7.7
17188.18776608796,-6.2145,155.1442,135000.0,7.9
17176.259574652777,4.4634,122.575,612710.0,7.3
17160.598923958332,-43.4053,-73.9403,38000.0,7.6
17152.45220486111,-4.5049,153.5216,94540.0,7.9
17143.73525902778,-10.676,161.3298,41000.0,7.8
17129.780426273148,11.9597,-88.8355,10340.0,7.0
17118.460405902777,-42.7245,173.0647,22000.0,7.8
17045.693024305554,-37.3586,179.1461,19000.0,7.0
17042.187475462964,-0.0471,-17.8294,10000.0,7.1
17032.314151967592,-55.2793,-31.874,10000.0,7.4
17025.06014224537,-22.4778,173.1108,16440.0,7.2
17011.887806828705,18.5439,145.541,207620.0,7.7
16949.407636342592,-56.2409,-26.9353,78000.0,7.2
16919.814861921295,-16.0429,167.3786,24000.0,7.0
16907.999039120372,0.3819,-79.9218,20590.0,7.8
16906.684099768518,32.7906,130.7543,10000.0,7.0
16862.53458460648,-4.9521,94.3299,24000.0,7.8
16830.142485532408,54.0057,158.5128,163220.0,7.2
16824.437842129628,59.6204,-153.3392,125600.0,7.1
16776.32645775463,38.2107,72.7797,22000.0,7.2
16773.934029050924,-47.6165,85.0913,35000.0,7.1
16763.952018171294,-10.0598,-71.0184,620560.0,7.6
16763.948366666667,-10.5372,-70.9437,606210.0,7.6
16734.38174259259,36.5244,70.3676,231000.0,7.5
16728.91114074074,-14.8595,167.3028,135000.0,7.1
16694.971317708332,-31.5622,-71.4262,28410.0,7.0
16694.95454699074,-31.5729,-71.6744,22440.0,8.3
16643.9037125,-2.7134,138.5428,47800.0,7.0
16585.474338541666,27.8281,140.4939,685500.0,7.9
16577.906483680556,-11.1336,163.5935,19600.0,7.0
16567.2953568287,27.8014,86.126,12300.0,7.2
16562.298877546295,-7.3019,154.5554,30400.0,7.0
16560.072271064815,-5.5168,151.8641,29600.0,7.5
16550.257947106482,28.1302,84.7168,13400.0,7.9
16523.99202546296,-4.7758,152.5778,41300.0,7.5
16493.572981944446,-7.358,122.4906,559100.0,7.0
16479.791128587964,52.5097,-32.0209,16900.0,7.1
16389.10535,1.834,126.4628,47800.0,7.0
16383.609902777776,46.93,140.63,10000.0,7.6
16375.789842013888,-19.8023,-177.8334,435300.0,7.1
16357.160846180554,12.5893,-88.072,63900.0,7.3
16352.093399768519,-32.2989,-110.9241,4200.0,7.0
16244.870253819445,51.7028,178.6428,102100.0,7.9
16179.561119444445,-6.708,154.992,39800.0,7.5
16178.602369097223,17.3211,-100.9938,24400.0,7.3
16173.52522048611,-11.4669,161.9601,34200.0,7.4
16172.843502083333,-11.2581,162.1387,15300.0,7.6
16171.296791782406,-6.6064,155.0329,57800.0,7.1
16163.11335949074,-20.5887,-70.4905,12000.0,7.7
16161.998571064814,-19.962,-71.0177,10800.0,7.0
16161.99082615741,-19.6193,-70.7877,17100.0,8.1
16026.378428935184,-60.3783,-46.5876,7900.0,7.8
16003.715475578703,37.1457,144.754,14700.0,7.1
15993.008718171297,9.8331,124.1231,23200.0,7.1
15973.696333101852,-15.9001,-74.6012,38200.0,7.0
15972.479030439816,26.9109,65.5315,15500.0,7.8
15947.684052314813,51.5001,-175.2137,30200.0,7.0
15901.585899652779,-61.0527,-25.2274,19900.0,7.3
15893.774668750002,-4.0134,153.9277,387100.0,7.3
15849.239466203706,54.815,153.3912,607000.0,8.3
15848.721583796296,-23.0783,-177.2133,177700.0,7.4
15814.129081365742,46.0722,150.924,109000.0,7.2
15811.447442476852,27.9704,62.136,63100.0,7.7
15801.196252199075,-3.4714,138.4743,69400.0,7.0
15745.594525,1.0345,-77.462,144200.0,7.0
15744.643504282407,-10.8933,166.1453,22400.0,7.0
15742.07934074074,-10.5087,165.8168,9900.0,7.0
15742.057911805554,-11.2569,164.93,34000.0,7.1
15742.050305324075,-10.864,165.1418,23800.0,7.9
15710.373833101852,55.2347,-134.8008,3100.0,7.5
15684.703582060185,-6.4969,129.8684,161500.0,7.1
15681.346106828705,37.8201,144.1594,35300.0,7.2
15651.691542939814,14.0318,-92.0669,38700.0,7.4
15641.127867939815,52.6777,-132.1724,7400.0,7.8
15613.688588773148,1.9079,-76.3716,155200.0,7.2
15588.612589467593,10.0242,-85.3884,20700.0,7.6
15583.533050231481,10.8107,126.8262,44400.0,7.6
15579.192588541668,12.1318,-88.6604,16000.0,7.3
15566.124755324074,49.75,145.3057,590700.0,7.7
15442.302652430557,28.8386,-113.127,10000.0,7.0
15441.446649652777,0.7675,92.4284,21600.0,8.2
15441.360159722222,2.2376,93.0144,26300.0,8.6
15424.942437037036,-35.2035,-72.1268,28200.0,7.1
15419.751940046295,16.4734,-98.3694,19400.0,7.5
15413.38097488426,40.842,145.0154,19200.0,7.0
15372.565752430555,-17.7532,167.1814,27300.0,7.0
15349.775696643519,2.4307,93.2081,20900.0,7.2
15322.211780208332,-7.5278,146.814,128500.0,7.1
15275.787902199074,-14.5572,-76.1207,29000.0,7.0
15270.44539363426,38.7294,43.4465,7600.0,7.1
15268.748117013889,-28.8809,-176.0332,34800.0,7.4
15232.81323101852,-21.593,-179.324,629000.0,7.3
15220.955275,-20.6279,169.778,136600.0,7.0
15210.740411574074,-7.6203,-74.538,149300.0,7.0
15206.763479282406,-18.3312,168.2258,31500.0,7.0
15206.704908449074,-18.2774,168.067,34600.0,7.1
15165.039709606483,38.0553,143.3016,24700.0,7.0
15161.793986921297,-29.3073,-176.2572,25400.0,7.6
15149.131700462964,51.9805,-171.8201,49800.0,7.3
15071.60606597222,38.2513,141.7296,53200.0,7.1
15044.26794837963,38.051,144.6297,19800.0,7.6
15044.260851504629,36.2274,141.088,25400.0,7.9
15044.240546296296,38.2963,142.498,19700.0,9.1
15042.114810069443,38.4407,142.9803,26200.0,7.3
14992.84960150463,28.6831,63.9948,79900.0,7.2
14976.84743252315,-38.3907,-73.3993,24400.0,7.1
14975.41456550926,-26.8513,-63.2373,584300.0,7.0
14968.553219675927,-19.8371,167.9375,15700.0,7.3
14964.722004166668,26.8989,143.7048,13800.0,7.4
14907.612756712964,-3.5248,100.1042,20000.0,7.8
14881.716261226853,-4.9863,133.775,20500.0,7.0
14855.691510185185,-43.3608,171.9023,4000.0,7.0
14833.496007175925,-1.2779,-77.3694,206500.0,7.1
14831.224842361113,-17.5345,168.0377,33500.0,7.3
14813.968863657406,6.7403,123.327,633700.0,7.5
14813.952233796297,6.4232,123.5796,584700.0,7.7
14813.922352083333,6.7113,123.4876,610200.0,7.3
14808.56598263889,-6.0444,150.6597,43100.0,7.3
14776.136448148147,-2.2032,136.5873,22100.0,7.0
14772.810301504629,7.8506,91.9546,31400.0,7.5
14756.718598726853,-13.6734,166.6722,34700.0,7.2
14738.24979560185,3.7328,96.0278,42300.0,7.3
14705.927107986112,2.3601,97.1113,33400.0,7.8
14703.94494965278,32.2764,-115.2633,5200.0,7.2
14679.62186539352,-34.2937,-71.802,24400.0,7.0
14667.334299537037,-37.84,-75.2105,35000.0,7.4
14667.273765393518,-36.1485,-72.9327,28100.0,8.8
14666.85517199074,25.9843,128.5078,24200.0,7.0
14621.911926041668,18.3823,-72.588,15000.0,7.0
14612.942008912036,-8.8788,157.4167,29800.0,7.1
14557.447856249999,-17.2674,178.4528,591300.0,7.3
14524.967928356482,-13.0836,166.4628,32900.0,7.4
14524.929790740742,-12.4743,166.3694,59000.0,7.8
14524.918916550927,-13.0359,166.5023,33700.0,7.6
14517.427899537037,-0.7071,99.9678,90200.0,7.6
14516.741800347221,-15.5119,-171.9369,18500.0,8.1
14489.329882291666,-7.7346,107.4109,57800.0,7.0
14466.83032210648,14.0522,92.8685,30700.0,7.5
14465.455512499999,33.1474,138.0594,302200.0,7.1
